イシュー ID,説明,状態,重要度,ストーリー ポイント,プロジェクト パス,場所の種類,パス,線,列,インシデント ID,ヘルプ リンク,アセンブリ名,アセンブリ バージョン,アセンブリ公開キー,スニペット
Project.0002,プロジェクトのターゲット フレームワークを変更する必要がある,Active,Mandatory,1,LP2DTP.Common\LP2DTP.Common.csproj,File,LP2DTP.Common\LP2DTP.Common.csproj,,,,,,,,現在のターゲット フレームワーク: net8.0 推奨されるターゲット フレームワーク: net10.0
Project.0002,プロジェクトのターゲット フレームワークを変更する必要がある,Active,Mandatory,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\LP2DTP.csproj,,,,,,,,現在のターゲット フレームワーク: net8.0-windows10.0.19041.0 推奨されるターゲット フレームワーク: net10.0-windows10.0.22000.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,327,12,P:Windows.UI.Color.B,,,,,"var color = isError                   ? new Windows.UI.Color { A = 255, R = 255, G = 0, B = 0 }                  : new Windows.UI.Color { A = 255, R = 0, G = 128, B = 0 };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,327,12,P:Windows.UI.Color.G,,,,,"var color = isError                   ? new Windows.UI.Color { A = 255, R = 255, G = 0, B = 0 }                  : new Windows.UI.Color { A = 255, R = 0, G = 128, B = 0 };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,327,12,P:Windows.UI.Color.R,,,,,"var color = isError                   ? new Windows.UI.Color { A = 255, R = 255, G = 0, B = 0 }                  : new Windows.UI.Color { A = 255, R = 0, G = 128, B = 0 };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,327,12,P:Windows.UI.Color.A,,,,,"var color = isError                   ? new Windows.UI.Color { A = 255, R = 255, G = 0, B = 0 }                  : new Windows.UI.Color { A = 255, R = 0, G = 128, B = 0 };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,327,12,T:Windows.UI.Color,,,,,"var color = isError                   ? new Windows.UI.Color { A = 255, R = 255, G = 0, B = 0 }                  : new Windows.UI.Color { A = 255, R = 0, G = 128, B = 0 };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,327,12,P:Windows.UI.Color.B,,,,,"var color = isError                   ? new Windows.UI.Color { A = 255, R = 255, G = 0, B = 0 }                  : new Windows.UI.Color { A = 255, R = 0, G = 128, B = 0 };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,327,12,P:Windows.UI.Color.G,,,,,"var color = isError                   ? new Windows.UI.Color { A = 255, R = 255, G = 0, B = 0 }                  : new Windows.UI.Color { A = 255, R = 0, G = 128, B = 0 };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,327,12,P:Windows.UI.Color.R,,,,,"var color = isError                   ? new Windows.UI.Color { A = 255, R = 255, G = 0, B = 0 }                  : new Windows.UI.Color { A = 255, R = 0, G = 128, B = 0 };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,327,12,P:Windows.UI.Color.A,,,,,"var color = isError                   ? new Windows.UI.Color { A = 255, R = 255, G = 0, B = 0 }                  : new Windows.UI.Color { A = 255, R = 0, G = 128, B = 0 };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,327,12,T:Windows.UI.Color,,,,,"var color = isError                   ? new Windows.UI.Color { A = 255, R = 255, G = 0, B = 0 }                  : new Windows.UI.Color { A = 255, R = 0, G = 128, B = 0 };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,227,16,P:Windows.UI.Color.B,,,,,"button.Background = new SolidColorBrush(new Windows.UI.Color { A = 255, R = 0, G = 128, B = 0 });"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,227,16,P:Windows.UI.Color.G,,,,,"button.Background = new SolidColorBrush(new Windows.UI.Color { A = 255, R = 0, G = 128, B = 0 });"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,227,16,P:Windows.UI.Color.R,,,,,"button.Background = new SolidColorBrush(new Windows.UI.Color { A = 255, R = 0, G = 128, B = 0 });"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,227,16,P:Windows.UI.Color.A,,,,,"button.Background = new SolidColorBrush(new Windows.UI.Color { A = 255, R = 0, G = 128, B = 0 });"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,227,16,T:Windows.UI.Color,,,,,"button.Background = new SolidColorBrush(new Windows.UI.Color { A = 255, R = 0, G = 128, B = 0 });"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,184,12,P:Windows.UI.Color.B,,,,,"var deleteButton = new Button              {                  Content = ""Delete"",                  Margin = new Thickness(2),                  Padding = new Thickness(8, 4, 8, 4),                  Background = new SolidColorBrush(new Windows.UI.Color { A = 255, R = 244, G = 67, B = 54 })              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LP2DTP\LP2DTP.csproj,File,LP2DTP\VisaItemListContent.cs,184,12,P:Windows.UI.Color.G,,,,,"var deleteButton = new Button              {                  Content = ""Delete"",                  Margin = new Thickness(2),                  Padding = new Thickness(8, 4, 8, 4),                  Background = new SolidColorBrush(new Windows.UI.Color { A = 255, R = 244, G = 67, B = 54 })              };"
